ED & Clinical Managers - Perceptions & Roles,,,,,,,,,
"How branch leaders perceive capacity, scheduling, and coordination, and the role they play in each. Rows cross-reference the Tier 1 variable IDs on Tabs 1-2; variables are not repeated here.",,,,,,,,,
,,,,,,,,,
Legend,,,,,,,,,
"Arena bands: Capacity, Scheduling, Coordination.   Role chips: Owns (accountable), Shares (joint), Executes (carries out), Influences (shapes), Experiences (receiving end).",,,,,,,,,
Column key,,,,,,,,,
Ref,,"Row reference for this stakeholder (ED- leaders, SCH- scheduler, CL- clinician, PT- patient). Local to the tab.",,,,,,,
Arena,,"Which part of the model the activity lives in: Capacity (the supply question), Scheduling (the allocation question), or Coordination (the execution and communication layer). Color-banded down the sheet to match Tabs 1-3.",,,,,,,
Activity / Touchpoint,,"The specific thing this stakeholder does, decides, or experiences in that arena.",,,,,,,
Role,,Their relationship to the activity. Owns = decides and is accountable. Shares = held jointly with another party. Executes = carries it out within constraints set elsewhere. Influences = shapes it but does not decide. Experiences = on the receiving end. Chip-colored.,,,,,,,
What they do,,"The concrete responsibility or action at that touchpoint, in operational terms.",,,,,,,
How they see it (perception),,"The stakeholder's own mental model: what they believe the activity is, what they value or fear about it, and the language they use for it. The granular perception view.",,,,,,,
Pain / friction today,,"What is hard, slow, or unreliable about the activity in the current state.",,,,,,,
Keep vs. offload,,What the stakeholder wants to keep control of versus what they would readily hand to a system or another party.,,,,,,,
What good looks like,,The stakeholder's own success signal - how they know the activity is working.,,,,,,,
Tied-to variables,,"The Tier 1 variable IDs this touchpoint draws on. Join keys into Tab 2 and Tab 1; the variables themselves are defined there, not repeated here.",,,,,,,
,,,,,,,,,
Ref,Arena,Activity / Touchpoint,Role,What they do,How they see it (perception),Pain / friction today,Keep vs. offload,What good looks like,Tied-to variables
ED-01,Capacity,Staffing to demand,Owns,"Set headcount by discipline and decide when to hire, flex up, or hold.",Capacity is the ceiling on growth and the single largest cost line at once. The question they carry is 'can we say yes to more without breaking the staff we have.',Headcount is visible but reachable open capacity is not; a full roster can still be unable to take a referral in the right zip.,Keep the hire and FTE decisions. Offload the real-time open-capacity number.,Every appropriate referral accepted without pushing clinicians past their ceiling.,"SH-01, C-01, C-06, C-08, C-09"
ED-02,Capacity,Referral accept / deny,Owns,Decide whether the branch can absorb a new start of care given open capacity and geography.,Every deny is lost revenue and a ding to the hospital relationship; every over-accept becomes a missed SOC or a burned clinician. A high-stakes yes/no made many times a week.,The call is often made on gut or stale numbers because assessing capacity by zip is not in front of them at decision time.,Keep the yes/no under ambiguity. Offload the capacity-and-geography check that informs it.,High accept rate with zero missed or late SOCs.,"SH-09, C-02, C-08, S-35"
ED-03,Capacity,Productivity targets,Owns,Set and defend weekly productivity targets and daily ceilings.,"Points are the currency of the branch; hitting target is financial health, but pushing past a fair load is how you lose people and shrink capacity next quarter.","Balancing utilization against burnout with blunt, after-the-fact reporting.",Keep the target-setting. Offload the live read of who is over or under their fair load.,Targets met branch-wide without a spike in overtime or turnover.,"SH-07, SH-08, C-05"
ED-04,Capacity,Coverage design,Shares,Define county coverage and approve clinician zip and territory assignments.,Coverage gaps are stranded capacity and access failures.,"Territory carries local knowledge that is not fully in the system, so redraws are slow and political.  Lack of data defining how territories are even defined.  Effort for changing even 1 zip code causes avoidance of any changes until absolutely necessary.  ",Keep approval of the map. Offload the detection of where capacity and demand are mismatched by geography.,"Demand and capacity aligned by territory, with no chronic uncovered pockets.","SH-06, C-02, C-03, C-04"
ED-05,Capacity,Flex / per-diem buffer,Owns,Size and authorize the per-diem and contract buffer used for surge and call-outs.,"The buffer is expensive insurance: unused it looks wasteful, absent it looks reckless. They are judged both ways.",Hard to know the right buffer size because true surge and call-out load is not quantified.,Keep the spend authorization. Offload the surge and coverage demand signal that justifies it.,Surges and call-outs covered without standing excess bench cost.,"C-09, C-12, CO-09"
ED-06,Scheduling,Schedule quality oversight,Influences,"Set scheduling policy - front-loading, continuity, balancing - without building schedules.",Scheduling is a black box they are accountable for; they trust the scheduler but cannot see schedule health until something fails.,"No visibility into whether the week is front-loaded, balanced, and compliant until a miss surfaces.",Keep the policy. Offload schedule construction and the monitoring of adherence to it.,"Front-loaded, compliant, balanced weeks that never require their intervention.","S-40, S-41, S-42, S-22"
ED-07,Scheduling,Compliance risk,Owns,"Accountable for SOC, recert, face-to-face, and ordered-frequency windows.","A compliance miss is a survey risk and a personal one; it is the thing that keeps them up at night, existential rather than operational.",They learn a window is at risk too late to act cleanly.,Keep the escalation and remediation call. Offload window tracking and early at-risk flags.,"No visit falls outside its regulatory window, and at-risk ones surface days early.","S-03, S-35, S-36, S-38, S-39"
ED-08,Scheduling,Exception escalation,Owns,"Resolve the hard cases the scheduler cannot: coverage crises, difficult refusals, capacity conflicts.","Their job is the exceptions; the routine should never reach their desk. When it does, the system upstream has failed.",Too many routine problems escalate because the scheduler lacks tools to resolve them lower down.,Keep the judgment calls. Offload everything that should have been resolvable before it reached them.,"Only true exceptions reach them, and the routine is handled below.","S-21, S-38, CO-09"
ED-09,Coordination,Coordination as capacity cost,Influences,Watch the non-visit time clinicians and schedulers spend coordinating.,"Every hour spent on confirmations, reminders, and reschedules is a visit not delivered - a hidden capacity leak they suspect is large but cannot size.","Coordination time is real but uncounted, so they cannot make the case to automate it.",Keep the relational parts that protect quality. Offload the mechanical reminders and confirmations.,"Coordination load down and visit capacity up, with the trade made visible.","CO-12, CO-01, CO-02"
ED-10,Coordination,Failed-visit and quality signals,Owns,"Track no-show, failed-visit, and missed-visit rates as quality and revenue signals.","Failed visits are a revenue leak, a quality flag, and a patient-safety issue in one number; a rising rate is an early warning the branch is slipping.","The signal arrives after the fact, patient by patient, not as a trend they can act on.",Keep accountability for the number. Offload the detection and the routine follow-up loop.,"Failed-visit rate low and falling, with fast documented recovery on the misses that happen.","CO-08, S-38, CO-01"
ED-11,Coordination,Staff fairness and retention,Shares,"Treat schedule fairness - balanced load, respected patterns - as a retention lever.","An unfair or chaotic schedule drives turnover, which shrinks capacity, which makes the schedule worse: a loop they are trying to break.",They cannot see whether the schedule is fair across clinicians until someone complains or quits.,Keep the culture and retention strategy. Offload the fairness and balance read across the team.,"Load spread fairly, patterns honored, and turnover attributable to scheduling near zero.","S-11, S-12, S-42, S-04"
