Capacity & Scheduling  —  The Big Picture,,,,,
"How it works, in plain terms. Start here.",,,,,
,,,,,
Two words that run everything,,,,,
CAPACITY  —  the envelope,,,SCHEDULING  —  filling it,,
"How much work can this branch deliver? The people, hours, disciplines and territory you have — netted against what is already booked.",,,"Assigning each doctor-ordered visit to a specific clinician, on a specific day, in a workable route — filling the envelope well.",,
"The Seam:  it is the same data. Ask “how much can we take?” and it is capacity. Ask “who does this visit, and when?” and it is scheduling. The work is to manage them as one thing, not two.",,,,,
,,,,,
The process,,,,,
01  Workforce,02  Capacity,03  Demand,04  Scheduling,05  Coordination,06  Results
Who do we have to send?,How much more work can we take?,What has to be done?,How do we fit the work to the people?,How do we make sure it happens?,What does the business get?
Headcount by discipline · Who can assess vs. assist · Availability & time off,Open room this week · Open room by day · Assessing capacity (RN / therapy),Ordered visits & frequency · SOC deadlines · Referrals in / discharges out,"Right clinician, day & route · Front-load the week · Continuity where it matters",Confirm the day before · Cover call-outs · Rebook misses,"Delivered visits → revenue · Compliance (LUPA, timing) · Reputation & continuity"
,,,,,
Why this matters,,,,,
•  A completed visit is the only thing that becomes revenue. A schedule printout counts visits that may never happen — delivered work is what pays.,,,,,
•  When we misread capacity it shows up two ways: referrals we turn down (work we could have taken) and visits we miss (work we promised and didn’t deliver). Both cost money and reputation.,,,,,
"•  Reading capacity well means more admits we can safely say yes to, fewer missed visits, and steadier clinicians — the same headcount doing more, more calmly.",,,,,
,,,,,
A few terms,,,,,
SOC,,"the start-of-care (first) visit, which carries a deadline.",,,
LUPA,,a minimum visit count per 30-day period; fall below it and the period pays per-visit instead of in full — so visit counts protect revenue.,,,
Per-diem,,as-needed clinicians who add flexible capacity when full-time staff are full.,,,
Assessing vs. assistant,,"assessing clinicians (RN, therapist) can open and evaluate cases; assistants (LPN, PTA, COTA, HHA) carry follow-up visits.",,,
,,,,,
NOTES,,,,,
