Functionality Scorecard,,,,,,,,,,,,,,,,,,
"Each candidate product is scored against every Tier 1 variable: Status, a 0-100 Rating, and Comments. Leave cells blank where a product does not cover or touch a requirement. The Summary rolls up automatically - including Footprint (how much of the requirement universe the product reaches). Our Posture shows the Tier 1 boundary, so where a product does more than we want (e.g. automates a Read item) the risk is visible. Definitions are in the Column key below.",,,,,,,,,,,,,,,,,,
Column key,,,,,,,,,,,,,,,,,,
ID / Layer / Variable,,,The variable being scored - same codes as Tabs 1 and 2.,,,,,,,,,,,,,,,
MVP Req. / Gating? / Conflict Risk,,,"Carried from Tier 1: the day-one must-have flag, the knockout flag, and where a product may conflict with how Compassus works.",,,,,,,,,,,,,,,
Our Posture,,,"The boundary we set in Tier 1: Control (software may drive it), Assist (software proposes, a person confirms), or Read (software only surfaces; a person decides). A product that does more than this on a variable is a risk to our determined interest - note it in Comments.",,,,,,,,,,,,,,,
Status,,,"Where the product stands: Not Available, Dev Roadmap, Testing, Active with Issues, Active, or In Scope Not Seen. Blank = not covered / not touched.",,,,,,,,,,,,,,,
Rating,,,0-100 score for how well the product handles the variable.,,,,,,,,,,,,,,,
Comments,,,"Evidence and notes from the product guide, demo, or vendor answer - including any place the product oversteps Our Posture.",,,,,,,,,,,,,,,
Footprint (Summary),,,Weighted share of the requirement universe the product touches at all (any Status except Not Available) - how much of what we care about it even reaches.,,,,,,,,,,,,,,,
Weight / Row Type / Rollup Key,,,Hidden helper columns that drive the rollups - leave them alone.,,,,,,,,,,,,,,,
Summary,,,,,,,,,,HCHB Web Scheduling,,,HCHB Smart Scheduling,,,,,
,,Footprint % (of requirements),,,,,,,,,0.3567251461988304,,,0.7076023391812866,,,,
,,Coverage % (Active / Active w-Issues),,,,,,,,,0.3567251461988304,,,0.7017543859649122,,,,
,,Overall weighted rating,,,,,,,,,62.131147540983605,,,71.19834710743801,,,,
,,Posture overreach (# variables),,,,,,,,,0,,,16,,,,
,,,,,,,,,,HCHB Web Scheduling,,,HCHB Smart Scheduling,,,,,
ID,Layer,Variable,MVP Req.,Our Posture,Gating?,Conflict Risk,Weight,Row Type,Rollup Key,Status,Rating,Comments,Status,Rating,Comments,,,
SHARED SPINE   -   used by both capacity and scheduling,,,,,,,,,,,,,,,,,,
,Shared,Roster,,,,,,Category,SHD-A,,60,,,77.5,,,,
SH-01,Shared,Clinician headcount,Yes,Control,Y,N,3,Variable,SHD-A,,,,Active,55,"Engine consumes the active-worker roster (Status Active, Able to Perform Visits) as its eligibility pool but does not manage headcount itself.",,,Out of the box vs need to develop column
SH-02,Shared,Discipline,Yes,Control,Y,N,3,Variable,SHD-A,Active,60,"Worker cards show Primary Job Description and visits carry Service Code Type/Service Code, sortable/groupable by Service line.",Active,90,Discipline/Job Code is a hard matching constraint the engine auto-enforces when assigning visits.,,,
SH-03,Shared,Role (assessing vs assistant),Yes,Control,Y,N,3,Variable,SHD-A,,,,Active,80,Job Code Priority Hierarchy and percentage-time-reserved distinguish assessing vs assistant roles and auto-prefer lower-cost qualified workers.,,,
SH-04,Shared,FTE / employment type,Yes,Control,Y,Y,3,Variable,SHD-A,,,,Active,85,Payment Method (Salaried/Hourly/Per-Visit/Custom) drives cost categories and expected-hours/points caps the engine enforces.,,,
,Shared,Availability & PTO,,,,,,Category,SHD-B,,60,,,85,,,,
SH-05,Shared,Approved time off / availability,Yes,Control,Y,N,3,Variable,SHD-B,Active,60,Worker Calendar flyout shows all visits plus non-visit activity (NVA) and a dynamic capacity read for availability/workload.,Active,85,Worker Availability/Unavailability and NVA integration auto-remove time off from the schedulable window.,,,
,Shared,Geography,,,,,,Category,SHD-C,,55,,,75,,,,
SH-06,Shared,Territory / service area,Yes,Assist,Y,Y,3,Variable,SHD-C,Active,55,"Branch filter (limited to the user's assigned branches), plus City and Zip Code on patient search, surface service area; no clinician territory concept.",Active,75,"OVERREACH - Branch/Team/Location match and Super Branch are hard constraints the engine auto-enforces (Worker Home Branch must equal Patient Branch), deciding service-area coverage rather than proposing it per our Assist posture.",,,
,Shared,Visit weighting,,,,,,Category,SHD-D,,0,,,70,,,,
SH-07,Shared,Productivity points per visit type,Yes,Control,N,Y,3,Variable,SHD-D,,,,Active,70,Productivity Points Model and Expected Points weight visits and cap load automatically.,,,
,Shared,Targets,,,,,,Category,SHD-E,,65,,,85,,,,
SH-08,Shared,Productivity target & ceiling,Yes,Control,N,Y,3,Variable,SHD-E,Active,65,"Capacity = (Scheduled+Completed)/Expected exposes the productivity target (Expected), and the 'Worker at Max Hours' exception surfaces the ceiling.",Active,85,"Enforces expected productivity target and a 30% ceiling, adding overtime penalties past it.",,,
,Shared,Demand events,,,,,,Category,SHD-F,,0,,,50,,,,
SH-09,Shared,Referral inflow / discharge outflow,Yes,Control,N,N,3,Variable,SHD-F,,,,Active,50,"Visit Dispatching reacts in real time to referral/order events (SOC, follow-up, discharge visit types) and schedules them automatically.",,,
CAPACITY,,,,,,,,,,,,,,,,,,
,Capacity,Supply,,,,,,Category,CAP-A,,0,,,75,,,,
C-01,Capacity,Headcount by discipline & employment type,Yes,Control,Y,Y,3,Variable,CAP-A,,,,Active,75,Groups clinicians by discipline and Payment Method and optimizes assignment across that supply.,,,
,Capacity,Geography,,,,,,Category,CAP-B,,60,,,72.5,,,,
C-02,Capacity,Branch coverage territory (county),Yes,Control,Y,N,3,Variable,CAP-B,Active,60,"Branch filter defaults to the Scheduler's Home Branch and is scoped to branches the user has access to, showing branch coverage; county granularity not surfaced.",Active,80,Worker Home Branch must equal Patient Branch; branch coverage enforced as a hard constraint.,,,
C-03,Capacity,Clinician territory assignment (zip),Yes,Assist,Y,Y,3,Variable,CAP-B,,,,Active,65,"OVERREACH - Uses worker home/alternate-start geolocation to auto-route and auto-assign by proximity, effectively deciding zip-level coverage past our Assist posture.",,,
C-04,Capacity,Census-tract granularity (under evaluation),Yes,Assist,N,Y,3,Variable,CAP-B,,,,,,,,,
,Capacity,Load,,,,,,Category,CAP-C,,75,,,62.5,,,,
C-05,Capacity,Committed load / points scheduled,Yes,Control,N,N,3,Variable,CAP-C,Active,75,Worker capacity computed dynamically from Productivity Points as (Scheduled+Completed)/Expected shows committed load in points.,Active,80,Tracks committed load/scheduled points and overlay visits per worker and stops assigning when capacity fills.,,,
C-12,Capacity,On-call / weekend rotation load,Yes,Control,Y,N,3,Variable,CAP-C,,,,Active,45,Weekend defaults (no weekend scheduling unless availability set) plus weekend/holiday exception settings govern weekend load; no explicit on-call rotation feature.,,,
,Capacity,Open room,,,,,,Category,CAP-D,,75,,,75,,,,
C-06,Capacity,Remaining capacity by day,Yes,Control,N,Y,3,Variable,CAP-D,,,,Active,80,"Max Hours/Day, Visits/Day and Percent Reserve compute remaining daily capacity; engine stops when either fills.",,,
C-07,Capacity,Week open capacity,Yes,Control,N,N,3,Variable,CAP-D,Active,75,Worker Calendar shows weekly capacity (Sunday-Saturday) for availability and remaining workload against Expected.,Active,75,Expected Hours/Points per week with a 30% cap define and enforce weekly open capacity.,,,
C-08,Capacity,Assessing capacity by discipline,Yes,Control,N,Y,3,Variable,CAP-D,,,,Active,70,"Percentage-time-reserved by Job Code (RN, PT, ST, MSW, CH, AIDE) auto-reserves assessing/admission capacity.",,,
,Capacity,Buffer,,,,,,Category,CAP-E,,0,,,60,,,,
C-09,Capacity,Per-diem / flex capacity,Yes,Assist,Y,N,3,Variable,CAP-E,,,,Active,60,"OVERREACH - Per-Visit/Contract workers are auto-included in the optimization pool and assigned by the engine, deciding flex-capacity use rather than proposing it per our Assist posture.",,,
,Capacity,Skill,,,,,,Category,CAP-F,,0,,,70,,,,
C-10,Capacity,Specialty competency supply,Maybe,Assist,N,N,1,Variable,CAP-F,,,,Active,70,"OVERREACH - Skills and Qualifiers are hard matching constraints auto-enforced, so specialty-competency supply is decided rather than proposed per our Assist posture.",,,
,Capacity,Ramp,,,,,,Category,CAP-G,,0,,,0,,,,
C-11,Capacity,Orientation / ramp status,Maybe,Assist,N,N,1,Variable,CAP-G,,,,,,,,,
,Capacity,Context,,,,,,Category,CAP-H,,0,,,0,,,,
C-13,Capacity,Referral volume (out of scope),No,Read,N,N,0,Variable,CAP-H,,,,,,,,,
SCHEDULING,,,,,,,,,,,,,,,,,,
,Scheduling,Patient demand,,,,,,Category,SCH-A,,62.5,,,80,,,,
S-01,Scheduling,Plan-of-care orders / ordered frequency,Yes,Control,Y,N,3,Variable,SCH-A,Active,50,"Requested visits appear in the Scheduling Status queue and Visit Details lists Authorization, Episode, Program and Service Code from the plan of care; ordered frequency itself not surfaced.",Active,75,Schedules the Requested visits generated from plan-of-care orders; Frequency-based Plotting turns ordered frequency into plotted days.,,,
S-02,Scheduling,Visit type,Yes,Control,Y,N,3,Variable,SCH-A,Active,75,Visit Details and the Visit List expose Service Code Type and Service Code; visits group/sort by Service line.,Active,85,Optimizes an explicit set of eligible Visit Types and matches by visit type.,,,
,Scheduling,Compliance,,,,,,Category,SCH-B,,0,,,0,,,,
S-03,Scheduling,Ordered-frequency compliance window,Yes,Control,Y,N,3,Variable,SCH-B,,,,,,,,,
S-35,Scheduling,SOC timing window,Yes,Control,Y,N,3,Variable,SCH-B,,,,,,,,,
S-36,Scheduling,Recert / face-to-face window,Yes,Control,Y,N,3,Variable,SCH-B,,,,,,,,,
,Scheduling,Clinician pattern,,,,,,Category,SCH-C,,50,,,56.875,,,,
S-04,Scheduling,Preferred working days,Maybe,Assist,N,N,1,Variable,SCH-C,,,,Active,65,"OVERREACH - Recurring Worker Availability sets the default weekly working days the engine enforces automatically, exceeding our Assist posture.",,,
S-05,Scheduling,Preferred start time,Maybe,Assist,N,N,1,Variable,SCH-C,,,,Active,50,"Optimized routing produces recommended start times surfaced in PointCare, which does not enforce them.",,,
S-06,Scheduling,Start-time flexibility,Maybe,Read,N,N,1,Variable,SCH-C,,,,,,,,,
S-07,Scheduling,Lunch pattern,Maybe,Assist,N,N,1,Variable,SCH-C,,,,,,,,,
S-08,Scheduling,Mid-day documentation block,Maybe,Assist,N,N,1,Variable,SCH-C,,,,,,,,,
S-09,Scheduling,Split-shift / mid-day personal break,Maybe,Read,N,N,1,Variable,SCH-C,,,,,,,,,
