Flow,Block,Dashboard,MVP,Target,Variables,X,Y,BubbleSize,LeftPct,TopPct,WidthPct,HeightPct,CanvasW,CanvasH
SOC / ROC,PCC completes clinician scheduling workflow,View,Automate,Automate,3,10.846,47.921,47.97,5.077,50.0,11.538,4.157,2600,1780
SOC / ROC,Read open capacity - day · week · discipline · territory,View,Automate,Automate,6,27.923,47.921,47.97,22.154,50.0,11.538,4.157,2600,1780
SOC / ROC,"Assign visit - clinician, day, sequence - one pass",View,Assist,Assist,6,52.231,47.921,47.97,46.462,50.0,11.538,4.157,2600,1780
SOC / ROC,"Visit delivered - docu- mented, OASIS locked",View,View,Surface,2,87.154,47.921,47.97,81.385,50.0,11.538,4.157,2600,1780
SOC / ROC,Welcome / readiness call by PCC,View,Automate,Automate,4,10.769,74.213,49.13,3.231,24.157,15.077,3.258,2600,1780
SOC / ROC,PCC creates scheduling grid entry,Removed,Removed,Removed,2,10.769,65.787,49.13,3.231,32.584,15.077,3.258,2600,1780
SOC / ROC,Priority flag to scheduling,View,Surface,Surface,3,10.769,28.034,49.13,3.231,70.337,15.077,3.258,2600,1780
SOC / ROC,Compute committed load (points),View,Automate,Automate,3,30.385,74.213,49.13,22.846,24.157,15.077,3.258,2600,1780
SOC / ROC,Assessing capacity by discipline,View,Automate,Automate,3,30.385,68.371,49.13,22.846,30.0,15.077,3.258,2600,1780
SOC / ROC,"Pending-auth visits invisible - not on calendar, not counted",Removed,Removed,Removed,1,30.385,62.303,45.74,22.846,36.18,15.077,3.034,2600,1780
SOC / ROC,Branch leadership review - reopen zip · adjust · defer,View,Assist,Assist,4,30.385,39.045,49.13,22.846,59.326,15.077,3.258,2600,1780
SOC / ROC,Engage per-diem / float - SOCs or coverage visits,View,Surface,Surface,2,30.385,31.854,49.13,22.846,66.517,15.077,3.258,2600,1780
SOC / ROC,Discipline / role match (gate),View,Automate,Automate,3,50.0,79.944,49.13,42.462,18.427,15.077,3.258,2600,1780
SOC / ROC,Territory list - zip code reference,View,Assist,Assist,4,50.0,74.551,49.13,42.462,23.82,15.077,3.258,2600,1780
SOC / ROC,Specialty competency match,View,Assist,Surface,2,50.0,69.157,49.13,42.462,29.213,15.077,3.258,2600,1780
SOC / ROC,Continuity - prefer same clinician,View,View,Assist,1,50.0,63.764,49.13,42.462,34.607,15.077,3.258,2600,1780
