Compassus Home Health - Capacity & Scheduling Concept Dictionary,,,,,,,,,,,,
"Master glossary of every concept, variable, and definition that shapes home health capacity and scheduling. The Variable Inventory and Functional Scorecard tabs draw from this list.",,,,,,,,,,,,
Home Health Capacity,,"The total clinical visit work a branch's workforce can deliver over a period, by discipline and by service area, netted against work already committed - the supply ceiling and the open room left in it. Measured in productivity points (or visits) per clinician per day and week, rolled up to branch. A quantity-and-location question: how much can this branch absorb, for which disciplines, in which territories, this week.",,,,,,,,,,
Home Health Scheduling,,"The assignment of specific ordered visits to specific clinicians on specific days, and increasingly specific sequences and times, subject to discipline, availability, geography, and patient constraints. An allocation-and-matching question at the single-visit grain: who sees whom, which day, in what order.",,,,,,,,,,
The Seam,,"Capacity sets the envelope and scheduling fills it. The same underlying data - clinicians, disciplines, territory, availability, visit weights, PTO - is capacity when read as totals and scheduling when read as assignments.",,,,,,,,,,
Coordination (execution layer),,"The communication and confirmation work that turns a schedule into delivered care and keeps the board stable - day-before confirmations, reminders, reschedules, coverage on call-outs, care-team updates. It both protects capacity (fewer failed visits) and consumes it (coordination time), so it is called out as its own band that ties the two together.",,,,,,,,,,
Column key,,,,,,,,,,,,
ID,,"Reference code. SH = shared spine, C = capacity, S = scheduling.",,,,,,,,,,
Layer,,"Which side of the seam the factor sits on - Shared, Capacity, Scheduling, or Coordination (the execution layer). Color-banded down the sheet.",,,,,,,,,,
Category,,"The grouping within a layer (Roster, Geography, Routing, Clinician pattern, Caregiver, Clinical timing, Compliance, Distribution, ...).",,,,,,,,,,
Concept / Variable,,The specific capacity or scheduling factor being defined.,,,,,,,,,,
Definition,,What the factor is.,,,,,,,,,,
Commentary,,Why it matters and how it behaves in practice.,,,,,,,,,,
Example,,A concrete instance.,,,,,,,,,,
Constraint Type,,"Hard = must be honored or the visit fails (patient refuses mornings; caregiver-present teaching).  Soft = optimize toward, break under pressure (clinician prefers an 8am start).  Structural = a fixed property of supply/geography.  Event = a demand trigger. Derived = computed live. Config = a policy-set constant.",,,,,,,,,,
Automation Confidence,,"How safely automation can act on the factor without unintended harm to the process, patient, clinician, or branch: High / Medium / Low. Composited from five factors - Legibility (captured in data, or informal knowledge?), Volatility (stable, or easily thrown off by a small error?), Coupling (isolated, or entangled?), Reversibility (recoverable, or lasting harm?), and Harm surface (who is exposed - patient, clinician, or branch?).",,,,,,,,,,
Automation Posture,,The setting implied by the confidence. Control = the system can decide and execute (High). Assist = the system proposes and a person confirms (Medium). Read = the system surfaces information only and a person owns the decision (Low).,,,,,,,,,,
Automation Notes,,Plain-language reason for the confidence and posture on that row.,,,,,,,,,,
Systems Lens,,Optional deeper systems view. Hidden by default - unhide the column for the fuller perspective; keep hidden for team and employer views.,,,,,,,,,,
Source,,"Originating system(s) for the data: HCHB, Workday, Routing, Census, Manual, Config, Derived, or Telephony.",,,,,,,,,,
ID,Layer,Category,Concept / Variable,Definition,Commentary,Example,Constraint Type,Automation Confidence,Automation Posture,Automation Notes,Systems Lens,Source
SH-01,Shared,Roster,Clinician headcount,The count of active clinicians available to deliver visits - the base unit of supply.,"Read as a total it is capacity; read as named individuals it is the pool scheduling draws from. Always counted per discipline, never in aggregate.","14 RNs, 6 PTs, 3 OTs, 2 SLPs active in the Charleston branch.",Structural,High,Control,Clear roster fact; safe to sync and read.,Fixed point - legible supply fact; encoding it doesn't move the pattern.,Workday + HCHB
SH-02,Shared,Roster,Discipline,The clinical license type that determines which ordered visits a clinician may perform.,Capacity and scheduling are always computed within a discipline; an RN shortage cannot be covered by a PT surplus.,A wound-care SOC ordered for RN cannot be filled by an available PT.,Structural,High,Control,"Firm licensure fact, fully in the data.",Fixed point - hard structural fact.,Workday + HCHB
SH-03,Shared,Roster,Role (assessing vs assistant),Classification of a discipline as assessing (can open/evaluate) or assistant (follow-up only).,RN/PT/OT/SLP = assessing; LPN/PTA/COTA = assistant. Drives offload: routine visits move to assistants to free assessing capacity for SOC/eval.,An LPN takes routine follow-ups so the RN is free for a same-day SOC.,Structural,High,Control,Derived directly from discipline.,Fixed point - deterministic from discipline.,Derived
SH-04,Shared,Roster,FTE / employment type,"Full-time, part-time, per-diem, or contract status.",Sets the daily/weekly point ceiling and the flexibility profile. FT carries base load; per-diem and contract are the flex buffer.,"FT ceiling 8 pts/day, PT 6, PD 4.",Structural,High,Control,Clear employment attribute.,Fixed point - structural.,Workday
SH-05,Shared,Availability & PTO,Approved time off / availability,"Days a clinician is unavailable (PTO, non-working days, working pattern).",Blanks the day from capacity and removes the slot from scheduling at the same time - the clearest shared seam.,On PTO Jul 22-23: zero capacity contributed and cannot be scheduled those days.,Hard,High,Control,"Once entered, a firm blackout the system can honor.",Hard boundary; once in the field it's a clean edge automation can hold.,Workday + HCHB
SH-06,Shared,Geography,Territory / service area,The geographic area a branch or clinician covers.,Branch coverage organized by county; clinician assignment by zip; census-tract precision under evaluation. Defines where capacity exists and where a visit can be routed.,Branch covers Berkeley/Dorchester/Charleston; a clinician covers zips 29464/29466/29429/29492.,Structural,Medium,Assist,Territory lines carry local knowledge; propose and confirm.,"Zip lines look fixed but encode local knowledge; read and propose, don't redraw.",HCHB + Manual + Census
SH-07,Shared,Visit weighting,Productivity points per visit type,The point value assigned to each visit type - the common currency of capacity and load.,"Same headcount yields different capacity by visit mix. Routine 1.0, SOC 2.5, recert 1.75, eval 1.5, reassess 1.25, discharge 1.75.",A day of three SOCs (7.5 pts) nearly fills an FT ceiling; a day of routines does not.,Config,High,Control,Policy constant; simple lookup.,Config constant - a fixed point.,Config
SH-08,Shared,Targets,Productivity target & ceiling,The expected weekly points and the maximum daily points a clinician should carry.,Target = the load we plan toward; ceiling = the hard cap capacity cannot exceed.,Weekly expected 30 pts; max daily 8 for FT.,Config,High,Control,Policy constant; simple lookup.,Config constant - a fixed point.,HCHB + Config
SH-09,Shared,Demand events,Referral inflow / discharge outflow,New starts-of-care entering and patients discharging - the events that open and close capacity and schedule slots.,"A referral consumes capacity when assigned; a discharge reopens it. Referral volume held steady for this initiative - context, not a scored lever.",A Thursday discharge in 29461 reopens RN capacity a new referral can fill.,Event,High,Control,Event detection is clear; the downstream action is scored separately.,"Legible trigger; sensing is safe, the response is where judgment enters.",HCHB
C-01,Capacity,Supply,Headcount by discipline & employment type,The staffed supply broken out by discipline and FTE type.,The single largest driver of branch capacity. A branch is only as capable as its thinnest discipline.,14 FT RNs + 2 PD RNs sets the RN ceiling before any scheduling.,Structural,High,Control,Clear supply fact.,Legible supply - a stable attractor.,Workday
