,KPIs & Baseline Worksheet  -  Capacity & Scheduling Initiative,,,,,,,,,,,
,,,,,,,,,,,,
,"The success metrics for the initiative, split into PRIMARY (the scoreboard finance judges results by, plus the one foundational measure that proves capacity is now measurable) and SECONDARY (the leading indicators that move first and explain the primaries). This tab is also the baseline template: enter each branch's current value in the Branch baseline column and the agency-wide rollup in the Agency baseline column. The definitional columns are collapsed by default - expand the column group to see each metric's definition, source, and whether the data exists today. Shaded cells are for your data.",,,,,,,,,,,
,,,,,,,,,,,,
,Legend & column key  (click + to expand),,,,,,,,,,,
,"Tier: Primary (the scoreboard) vs. Secondary (leading indicators).   Lever: Foundational, Revenue, Cost, Compliance, Quality, Workforce, Flow, Adoption.   Lead/Lag: leading metrics move before the outcome; lagging metrics confirm it.   Available today: Yes / Partial / No - most primaries do not exist as a live number yet.   Shaded cells = enter your data.",,,,,,,,,,,
,KPI,,The metric.,,,,,,,,,
,Tier,,Primary = judged on directly; Secondary = supporting leading indicator.,,,,,,,,,
,Unit / basis,,"What to enter and in what unit (percent, hours, dollars, visits/day, index).",,,,,,,,,
,Definition,,"Plain-English meaning, including which direction is better.",,,,,,,,,
,Lever,,"The value lever it moves (revenue, cost, compliance, quality, workforce, flow, adoption, or foundational).",,,,,,,,,
,Lead/Lag,,Whether it moves before the outcome (leading) or confirms after (lagging).,,,,,,,,,
,Source system,,Where the data comes from once instrumented.,,,,,,,,,
,Available today?,,"Whether a live, trustworthy version of this number exists now.",,,,,,,,,
,Branch baseline,,Enter this branch's current value for the baseline period.,,,,,,,,,
,Agency baseline,,Enter the agency-wide (all-branch) rollup value for the baseline period.,,,,,,,,,
,Target,,Optional: the value success looks like.,,,,,,,,,
,Notes,,"Definition of done, caveats, data owner, or how the number was pulled.",,,,,,,,,
,,,,,,,,,,,,
,Branch (fill one copy of this sheet per branch):,,,,,,,,,,,
,Baseline period (from - to):,,,,,,,,,,,
,,,,,,,,,,,,
,KPI,Tier,Unit / basis,Definition,Lever,Lead/Lag,Source system,Available today?,Branch baseline,Agency baseline,Target,Notes
,PRIMARY KPIs  -  the scoreboard success is judged on,,,,,,,,,,,
,Quantified capacity & utilization,Primary,% (and visits/wk),"Measured maximum deliverable visits per week versus what is actually delivered. The initiative's core deliverable: capacity becomes a defensible number. Higher utilization is better, up to a safe ceiling.",Foundational,Leading,Scheduling + HR/staffing + visit-time standards (product-computed),No,,,,
,Referral turn-down rate (no capacity),Primary,% (and admits / ADC),"Share of clinically appropriate referrals declined for lack of capacity, and the admissions / average daily census recovered when it falls. Lower turn-down is better.",Revenue,Lagging,Referral / intake system; turn-down log,No,,,,
,Premium / contract / overtime labor,Primary,% of labor cost (and $),"Share of clinical labor delivered at a premium (agency, PRN, overtime) because capacity was not visible where it sat idle. Lower is better.",Cost,Lagging,Payroll / staffing,Partial,,,,
,LUPA rate & revenue leakage,Primary,% of periods (and $),Share of PDGM 30-day periods that fall below the visit threshold and forfeit the full-period payment. Lower is better.,Revenue / Compliance,Lagging,EMR / billing (PDGM),Partial,,,,
,Clinician turnover,Primary,% annualized (and $),"Annualized clinical-staff attrition and the cost to replace. Predictable schedules, balanced loads, and continuity reduce it. Lower is better.",Cost,Lagging (slow),HR,Yes,,,,
,SECONDARY KPIs  -  the leading indicators that move first and explain the primaries,,,,,,,,,,,
,Time to start of care (SOC),Secondary,hours (median),"Elapsed time from referral to first billable visit, measured against the 48-hour standard. Leading indicator of referral capture. Lower is better.",Revenue / Quality,Leading,EMR / referral,Partial,,,,
,Missed / rescheduled visit rate,Secondary,% of scheduled visits,"Scheduled visits not completed as planned, for any reason. Feeds LUPA exposure and rework. Lower is better.",Cost / Risk,Lagging,Scheduling / EMR,Partial,,,,
,Continuity of care,Secondary,%,Share of a patient's visits delivered by their primary clinician. Feeds CAHPS / value-based purchasing and retention. Higher is better.,Quality / Risk,Lagging,Scheduling / EMR,No,,,,
,Schedule volatility / churn,Secondary,% of plan changed,How much of the set schedule changes before it is worked. An early warning for instability that predicts turnover and misses. Lower is better.,Workforce,Leading,Scheduling system,No,,,,
,Caseload balance (acuity + travel weighted),Secondary,index / variance,Evenness of true load across clinicians once acuity and travel are counted. Imbalance is an early turnover signal. More balance is better.,Workforce,Leading,Scheduling + acuity,No,,,,
,Productivity vs. potential / drive-time,Secondary,% (and visits/day),"Delivered work versus realistic potential, and the share of the day spent in care versus driving. Explains movement in utilization and cost per visit. Higher is better.",Cost,Leading,Scheduling + GPS / mileage,No,,,,
,Coordination / hand-off latency,Secondary,hours,Time work waits at hand-offs across the intake-to-care pipeline. Feeds SOC timeliness and missed visits. Lower is better.,Flow,Leading,Workflow / EMR,No,,,,
,Tool adoption (scheduler usage),Secondary,% of decisions via tool,"How much scheduling actually runs through the product. MVP-critical: if it is not used, none of the other metrics move. Higher is better.",Adoption,Leading,Product analytics,No,,,,
,,,,,,,,,,,,
,"Several primary metrics do not exist as a live number today (see Available today?). Capturing this baseline is the initiative's first deliverable and the yardstick every later result is measured against. Use one copy of this sheet per branch, then roll the Branch baselines up into the Agency baseline column on a master copy. Hospice branches: replace LUPA rate with visit-frequency compliance and level-of-care accuracy, and add CAHPS Hospice as a primary-adjacent quality measure.",,,,,,,,,,,
