Patient - Perceptions & Roles,,,,,,,,,
"How the patient experiences capacity, scheduling, and coordination, and where they hold a say. Written in the patient's own voice. IDs link back to Tabs 1-2. The archetype section below explores the drivers behind these experiences.",,,,,,,,,
Legend,,,,,,,,,
"Arena bands: Capacity, Scheduling, Coordination.   Role chips: Owns (accountable), Shares (joint), Executes (carries out), Influences (shapes), Experiences (receiving end).",,,,,,,,,
Column key,,,,,,,,,
Ref,,"Row reference for this stakeholder (ED- leaders, SCH- scheduler, CL- clinician, PT- patient). Local to the tab.",,,,,,,
Arena,,"Which part of the model the activity lives in: Capacity (the supply question), Scheduling (the allocation question), or Coordination (the execution and communication layer). Color-banded down the sheet to match Tabs 1-3.",,,,,,,
Activity / Touchpoint,,"The specific thing this stakeholder does, decides, or experiences in that arena.",,,,,,,
Role,,Their relationship to the activity. Owns = decides and is accountable. Shares = held jointly with another party. Executes = carries it out within constraints set elsewhere. Influences = shapes it but does not decide. Experiences = on the receiving end. Chip-colored.,,,,,,,
What they do,,"The concrete responsibility or action at that touchpoint, in operational terms.",,,,,,,
How they see it (perception),,"The stakeholder's own mental model: what they believe the activity is, what they value or fear about it, and the language they use for it. The granular perception view.",,,,,,,
Pain / friction today,,"What is hard, slow, or unreliable about the activity in the current state.",,,,,,,
Keep vs. offload,,What the stakeholder wants to keep control of versus what they would readily hand to a system or another party.,,,,,,,
What good looks like,,The stakeholder's own success signal - how they know the activity is working.,,,,,,,
Tied-to variables,,"The Tier 1 variable IDs this touchpoint draws on. Join keys into Tab 2 and Tab 1; the variables themselves are defined there, not repeated here.",,,,,,,
Ref,Arena,Activity / Touchpoint,Role,What they do,How they see it (perception),Pain / friction today,Keep vs. offload,What good looks like,Tied-to variables
PT-01,Capacity,Getting accepted,Experiences,Wait for care to start after a referral.,I do not see capacity; I feel 'when can someone come.' A slow start makes me feel unwanted or unsafe.,The wait is opaque - no one tells me when my first visit will be.,I have nothing to offload; I just want to know when care starts.,Care starts quickly and I am told when.,"SH-09, S-35, C-08"
PT-02,Scheduling,When I am seen,Influences,Receive visits on days and times set largely by others.,"I have a life - dialysis, meals, family, rest - and I want visits to fit around it, not the other way around.",Being told 'sometime Tuesday' means I lose the whole day waiting.,"Keep a say over my availability. Offload the scheduling itself, if it respects my day.",Visits land at times that fit my life and I know them in advance.,"S-20, S-26, S-27, S-32"
PT-03,Scheduling,Time-of-day needs,Owns,State the times I cannot or will not be seen.,"A morning-only or no-early rule is not me being difficult - it is my insulin, or when my help is home.",My stated times are treated as preferences and get overridden.,Keep ownership of my hard time needs. Offload nothing that ignores them.,My real time constraints are always honored.,"S-25, S-26"
PT-04,Scheduling,Caregiver presence,Shares,Arrange for my daughter or spouse to be there when a visit requires it.,Coordinating a second person's schedule is a burden I carry; a visit that ignores it just fails and I get blamed.,The schedule does not account for when my caregiver can actually be here.,Keep the arranging with my family. Offload matching visits to when they can be present.,Visits come only when the person I need is here.,"S-28, S-29, S-30, CO-06"
PT-05,Scheduling,Who comes,Influences,"Receive whichever clinician is assigned, visit to visit.",A new face every time means re-explaining everything; I want the same person who knows me. A gender or language mismatch can be a dealbreaker for personal care.,"Continuity is not protected, so I start over with a stranger too often.",Keep a say in continuity and fit. Offload the matching if it remembers my preferences.,"The same trusted clinician, who fits my needs, comes each time.","S-22, S-23, S-24"
PT-06,Coordination,Knowing a visit is coming,Experiences,Receive reminders and confirmations of upcoming visits.,A reminder is respect and reassurance; silence makes me anxious that I have been forgotten.,"Reminders are inconsistent, so I never quite trust that someone is coming.","Nothing to offload; I just want to be told, reliably.",I always know a visit is coming and that I have not been forgotten.,"CO-01, CO-02, CO-05"
PT-07,Coordination,Knowing when today,Experiences,Learn when the clinician will actually arrive today.,A '20 minutes away' notice lets me stop waiting by the window all morning - it gives me my day back.,"Without it I wait for hours, unable to do anything else.",Nothing to offload; the notice itself is the whole value.,I get a heads-up before arrival and can plan my day around it.,"CO-03, S-20"
PT-08,Coordination,How I am reached,Owns,"State whether to reach me by text, call, or email.",Reach me the way that works for me or you have not reached me at all - some of us cannot hear the phone.,"My channel preference is not honored, so messages miss me.",Keep ownership of how I am contacted. Offload only the honoring of it.,Every message reaches me on the channel that works.,CO-05
PT-09,Coordination,When a visit is missed,Experiences,Deal with a no-show or a last-minute cancellation.,"A missed visit is frightening - my meds, my wound - and it erodes trust fast; a fast, honest rebook rebuilds it.",Misses are not always acknowledged or quickly recovered.,Nothing to offload; I need honesty and a quick fix.,A missed visit is owned and rebooked fast.,"CO-08, S-38, CO-07"
PT-10,Coordination,First contact,Experiences,Receive the welcome call at the start of care.,The first touch tells me whether I am in good hands or just a case number.,"There may be no welcome, so my first impression is a stranger at the door.",Nothing to offload; the human first contact is the point.,A warm first contact that sets expectations before care begins.,CO-04
PT-11,Coordination,Changing a visit,Shares,Ask to move a visit when something comes up.,I want it to be easy and not cost me my slot for days.,Rescheduling is hard to reach and can push my care out further than I expect.,Keep the ability to ask. Offload finding me a new slot fast.,I can move a visit easily without losing days of care.,CO-07
Patient & Caregiver Archetypes & Drivers,,,,,,,,,
"Patients and their caregivers are not uniform demand. Each carries realities - health, cognition, caregiver availability, life rhythm, and past experience with the agency - that shape what a good schedule looks like to them. Many of these are fixed and the schedule must bend to them, not the reverse. Realistic expectations differ by archetype: the same visit that reassures one patient frustrates another. Reading these drivers is how coordination stops failing the same patients repeatedly.",,,,,,,,,
Archetype,,Profile & core driver,,What they need / how they experience it,,Effect on capacity & scheduling,Malleable?,What the system must do,
The Routine-anchored,,"Life structured around dialysis, medication times, meals, and standing appointments.",,Visits must slot into fixed windows; anything outside them fails or disrupts their care.,,Narrows viable slots sharply and pins the route; ignoring the routine produces failed visits.,Fixed,Treat their windows and competing appointments as hard constraints and build the day around them.,
The Caregiver-dependent,,"Visit is gated on a second person - dementia supervision, or teaching that needs a family member present.",,Needs the visit only when their caregiver can be there; that availability often changes week to week.,,"Two calendars to satisfy, one of them fluctuating - the hardest scheduling case and a frequent failure point.",Fixed,Confirm the caregiver window before booking; never auto-book a gated visit. Surface the dependency and let a person hold it.,
