Footprint & Fit,,,,,
"Each cell is a product's weighted coverage of that category, read live from the Tier 2 scorecard (0 = untouched). Set a product to TRUE in the selector row to include it in the combination; 'Combined (selected)' shows the best coverage any selected product reaches, and 'Gap?' flags categories the selected combination still leaves uncovered. This answers whether a few products together can fill our needs.",,,,,
Include in combination ->,,True,True,,
Layer,Category,HCHB Web Scheduling,HCHB Smart Scheduling,Combined (selected),Gap?
Shared,Roster,,,,
Shared,Availability & PTO,,,,
Shared,Geography,,,,
Shared,Visit weighting,,,,
Shared,Targets,,,,
Shared,Demand events,,,,
Capacity,Supply,,,,
Capacity,Geography,,,,
Capacity,Load,,,,
Capacity,Open room,,,,
Capacity,Buffer,,,,
Capacity,Skill,,,,
Capacity,Ramp,,,,
Capacity,Context,,,,
Scheduling,Patient demand,,,,
Scheduling,Compliance,,,,
Scheduling,Clinician pattern,,,,
Scheduling,Routing,,,,
Scheduling,Matching,,,,
Scheduling,Constraint,,,,
Scheduling,Continuity,,,,
Scheduling,Preference,,,,
Scheduling,Patient availability,,,,
Scheduling,Caregiver,,,,
Scheduling,Clinical timing,,,,
Scheduling,Dependency,,,,
Scheduling,Exception,,,,
Scheduling,Distribution,,,,
Coordination,Confirmation & Reminders,,,,
Coordination,Coverage & Reschedule,,,,
Coordination,Care Coordination,,,,
Coordination,Coordination Cost,,,,
,Footprint (avg coverage),,,,
,Categories still a GAP (selected combo),,,,
,Categories covered (selected combo),,,,
By module,Target module,HCHB Web Scheduling,HCHB Smart Scheduling,Combined (selected),Gap?
Module,Capacity Management,,,,
Module,Scheduling Engine,,,,
Module,Patient Engagement,,,,
,"Module coverage is a second cut of the same scores - every variable appears in exactly one module, so these three rows cover the whole requirement universe once. Read them against the category rows above, not instead of them.",,,,
