The Concepts That Matter,,,,,,,,
The fifteen factors that decide the outcome — distilled from the full concept list. Fill the shaded columns together.,,,,,,,,
THE MAP  (pre-filled),,,,,FILLED IN THE SESSION,,,
Concept,Arena,What it is,Why it matters,Tied to,Current reality,Fixed or shapeable?,Priority,Owner / next step
CAPACITY  —  the envelope,,,,,,,,
Staff supply by discipline,Capacity,"How many clinicians you have, split by discipline and full-time vs. per-diem.",The single biggest driver of how much a branch can deliver; everything else works within it.,"C-01, SH-01–04",,,,
Visit weighting (points),Capacity,"Each visit type is worth points — routine 1.0, SOC 2.5, recert 1.75, and so on.",The common currency. The same headcount delivers very different capacity depending on the visit mix.,SH-07,,,,
Targets & ceiling,Capacity,"The weekly points you plan toward, and the daily maximum a clinician should not exceed.",Defines what “full” means. Plan to the target; the ceiling is the hard cap capacity can’t cross.,SH-08,,,,
Open room by day,Capacity,The bookable points left each day after work already assigned.,"The live read leaders act on — green means take more, red means full.","C-06, C-07",,,,
Assessing capacity by discipline,Capacity,Open room limited to clinicians who can do assessments (SOC / eval).,New starts can only be met by assessing capacity; this is what gates saying yes to a referral.,C-08,,,,
Per-diem / flex buffer,Capacity,On-demand capacity from per-diem and contract staff.,"The elastic cushion when full-time is exhausted; its real size depends on relationships, not just stated availability.",C-09,,,,
Territory reachability,Capacity,Which zip codes each clinician actually covers.,Capacity only counts if it can reach the patient; room in the wrong area is room you can’t use.,"C-03, SH-06",,,,
SCHEDULING  —  filling it,,,,,,,,
Referral & discharge flow,Scheduling,New starts entering and patients discharging.,A referral consumes capacity; a discharge reopens it. This is the demand that moves the whole board.,SH-09,,,,
Ordered visit frequency,Scheduling,The doctor-ordered number and cadence of visits per patient.,"Non-negotiable demand — it sets what must be scheduled and when, before any preference.","S-01, S-03",,,,
Assignment fit,Scheduling,"Matching each visit to the right clinician by discipline, skill, area and current load.",Good fit uses capacity efficiently; assigning by whoever’s free wastes it and strains clinicians.,S-15–17,,,,
Front-loading the week,Scheduling,Loading more visits Monday–Tuesday instead of back-ending to Friday.,A front-loaded week absorbs surprises; a back-loaded one turns any hiccup into missed visits.,"S-40, S-41",,,,
Continuity of care,Scheduling,Keeping the same clinician with the same patient.,"Drives trust and outcomes, but competes with efficiency — a real trade-off leaders should set on purpose.",S-22,,,,
COORDINATION  —  making it happen,,,,,,,,
Day-before confirmation,Coordination,Confirming visits with patients before the day.,Cuts no-shows and wasted trips — the cheapest way to protect delivered visits.,"CO-01, CO-02",,,,
Call-out coverage,Coordination,Covering a clinician’s day when they call out.,One uncovered call-out cascades into a day of missed visits; how fast you backfill decides the damage.,CO-09,,,,
Completed vs. missed  +  LUPA risk,Coordination,"Whether each visit was completed, is in progress, or was missed — and whether a 30-day period has enough visits.","Only completed visits become revenue, and too few in a period (LUPA) slashes payment. This is where money is won or lost.","S-38, S-39",,,,
