Clinician - Perceptions & Roles,,,,,,,,,
"How the clinician perceives capacity, scheduling, and coordination, and the role they play in each. Written in the clinician's own voice. IDs link back to Tabs 1-2. The archetype section below explores the behavioral drivers behind these roles.",,,,,,,,,
Legend,,,,,,,,,
"Arena bands: Capacity, Scheduling, Coordination.   Role chips: Owns (accountable), Shares (joint), Executes (carries out), Influences (shapes), Experiences (receiving end).",,,,,,,,,
Column key,,,,,,,,,
Ref,,"Row reference for this stakeholder (ED- leaders, SCH- scheduler, CL- clinician, PT- patient). Local to the tab.",,,,,,,
Arena,,"Which part of the model the activity lives in: Capacity (the supply question), Scheduling (the allocation question), or Coordination (the execution and communication layer). Color-banded down the sheet to match Tabs 1-3.",,,,,,,
Activity / Touchpoint,,"The specific thing this stakeholder does, decides, or experiences in that arena.",,,,,,,
Role,,Their relationship to the activity. Owns = decides and is accountable. Shares = held jointly with another party. Executes = carries it out within constraints set elsewhere. Influences = shapes it but does not decide. Experiences = on the receiving end. Chip-colored.,,,,,,,
What they do,,"The concrete responsibility or action at that touchpoint, in operational terms.",,,,,,,
How they see it (perception),,"The stakeholder's own mental model: what they believe the activity is, what they value or fear about it, and the language they use for it. The granular perception view.",,,,,,,
Pain / friction today,,"What is hard, slow, or unreliable about the activity in the current state.",,,,,,,
Keep vs. offload,,What the stakeholder wants to keep control of versus what they would readily hand to a system or another party.,,,,,,,
What good looks like,,The stakeholder's own success signal - how they know the activity is working.,,,,,,,
Tied-to variables,,"The Tier 1 variable IDs this touchpoint draws on. Join keys into Tab 2 and Tab 1; the variables themselves are defined there, not repeated here.",,,,,,,
Ref,Arena,Activity / Touchpoint,Role,What they do,How they see it (perception),Pain / friction today,Keep vs. offload,What good looks like,Tied-to variables
CL-01,Capacity,Personal daily load,Influences,Carry a daily target of points and visits and work through the day handed to them.,"Capacity is my day - how full it is, how far I drive, whether I finish by my hard stop. 'Productivity' can feel like a treadmill measured in points.",A day that is full on paper can be impossible once geography and real visit times are counted.,Keep control over my own limits and hard stop. Offload nothing that overrides them.,A full but doable day that ends on time.,"SH-08, C-05, S-11"
CL-02,Capacity,Availability and time off,Owns,"Declare working days, PTO, and non-working days.","This is my boundary with work, and I expect it honored once I have entered it.","PTO is entered and then scheduled over anyway, which reads as the system not seeing them.","Keep ownership of my availability. Offload only the honoring of it, never the overriding.",Declared time off is never booked against.,"SH-05, S-04, S-10"
CL-03,Scheduling,Working pattern,Owns,"Set preferred days, start time, lunch, documentation block, and any split shift.","These are my life - childcare, commute, the shape of my day - not preferences to be traded freely.",A scheduler who does not know me rebuilds my day wrong and I have to fight to fix it.,"Keep my rhythm. Offload the stable, documented parts so a covering scheduler still gets it right.",A schedule that fits the shape of my day without me defending it every week.,"S-04, S-05, S-07, S-08, S-09"
CL-04,Scheduling,Flex and elasticity,Influences,"Decide, day by day, how much I will bend my pattern for a squeeze-in.","Flexing is a favor I choose to give, not an obligation; being volunteered without being asked breaks trust fast.",Assumptions about my flexibility get baked into the schedule without anyone checking with me.,Keep the choice to say yes or no. This should never be assumed on my behalf.,"I am asked, not told, when the schedule needs me to stretch.","S-06, S-12, S-13"
CL-05,Scheduling,Hard stop,Owns,Hold a firm end time for the day.,Non-negotiable - childcare or a second obligation - and a schedule that ignores it simply fails.,Hard stops are treated as soft until a late visit forces the issue.,Keep the hard stop absolute. Offload only its enforcement.,No visit is ever placed past my hard stop.,S-10
CL-06,Scheduling,Route and mileage,Experiences,Drive the sequence of visits handed to them across the day.,A bad route is unpaid windshield time; I re-order it in my head on the drive because the paper order ignores reality.,"Routes optimized on paper miss the real facts - parking, a patient never ready early, a slow building.",Keep the on-the-ground re-order. Offload a base route that starts closer to reality.,"A route that reflects how the day actually drives, not just the map.","S-14, S-17, S-18, S-19"
CL-07,Scheduling,Patient and caregiver reality,Executes,Discover and work with the real patient and caregiver constraints at the door.,"I am the sensor - I learn the dementia caregiver window, the refusal, the fact that the map is wrong. It lives with me first.","What I learn at the door does not flow back into the schedule, so the same wrong assumption repeats.",Keep the reading of the situation. Offload a clean way to feed it back so it sticks.,What I learn once changes the schedule for good.,"S-28, S-29, S-30, S-25"
CL-08,Scheduling,Continuity,Influences,Prefer to keep seeing my own patients across the episode.,"Continuity is clinical quality and relationship, not a scheduling nicety; I know my patients and catch changes a stranger would miss.",Continuity breaks under coverage pressure and no one sees the clinical cost.,Keep me on my patients where possible. Offload the flag when continuity is about to break.,I follow my patients through the episode.,S-22
CL-09,Scheduling,Visit match and acuity,Experiences,"Receive visits matched to my discipline, skill, and competency.",Being handed a visit beyond my competency is unsafe; being underused is a waste of my training. I notice both.,"Mismatches happen when the competency data is thin, and I absorb the risk.",Keep me from unsafe matches. Offload the routine matching to trusted data.,Every visit is one I am the right and safe clinician for.,"S-15, S-16, S-33"
