Scheduler - Perceptions & Roles,,,,,,,,,
"How the scheduler perceives capacity, scheduling, and coordination, and the role they play in each. The operational hub - it touches nearly every Tier 1 variable. IDs link back to Tabs 1-2.",,,,,,,,,
,,,,,,,,,
Legend,,,,,,,,,
"Arena bands: Capacity, Scheduling, Coordination.   Role chips: Owns (accountable), Shares (joint), Executes (carries out), Influences (shapes), Experiences (receiving end).",,,,,,,,,
Column key,,,,,,,,,
Ref,,"Row reference for this stakeholder (ED- leaders, SCH- scheduler, CL- clinician, PT- patient). Local to the tab.",,,,,,,
Arena,,"Which part of the model the activity lives in: Capacity (the supply question), Scheduling (the allocation question), or Coordination (the execution and communication layer). Color-banded down the sheet to match Tabs 1-3.",,,,,,,
Activity / Touchpoint,,"The specific thing this stakeholder does, decides, or experiences in that arena.",,,,,,,
Role,,Their relationship to the activity. Owns = decides and is accountable. Shares = held jointly with another party. Executes = carries it out within constraints set elsewhere. Influences = shapes it but does not decide. Experiences = on the receiving end. Chip-colored.,,,,,,,
What they do,,"The concrete responsibility or action at that touchpoint, in operational terms.",,,,,,,
How they see it (perception),,"The stakeholder's own mental model: what they believe the activity is, what they value or fear about it, and the language they use for it. The granular perception view.",,,,,,,
Pain / friction today,,"What is hard, slow, or unreliable about the activity in the current state.",,,,,,,
Keep vs. offload,,What the stakeholder wants to keep control of versus what they would readily hand to a system or another party.,,,,,,,
What good looks like,,The stakeholder's own success signal - how they know the activity is working.,,,,,,,
Tied-to variables,,"The Tier 1 variable IDs this touchpoint draws on. Join keys into Tab 2 and Tab 1; the variables themselves are defined there, not repeated here.",,,,,,,
,,,,,,,,,
Ref,Arena,Activity / Touchpoint,Role,What they do,How they see it (perception),Pain / friction today,Keep vs. offload,What good looks like,Tied-to variables
SCH-01,Capacity,Reading open capacity,Executes,Check each clinician and day for open points before placing a visit.,Capacity is a live puzzle of who has room where; much of it lives in their head because the system view is scattered.,"Open room is spread across screens and PTO or ramp status is not always reflected, so the number they see is not the number that is true.",Keep the judgment of who can really take more. Offload the aggregated open-by-day-by-discipline view.,A single trustworthy read of open capacity by day and discipline.,"C-06, C-08, SH-05, C-11"
SCH-02,Scheduling,Placing ordered visits,Owns,Assign each plan-of-care order to a clinician and day within its compliance window.,The central act of the job; a good placement satisfies a dozen hard and soft constraints at once and still leaves the week balanced.,Constraints are juggled by hand and a single change cascades into re-work across the week.,Keep the placement decision. Offload the constraint-checking and the cascade recompute.,"Every order placed in-window, matched, routed, and balanced on the first pass.","S-01, S-02, S-03, S-15, S-20"
SCH-03,Scheduling,Discipline and skill matching,Executes,"Match each visit to a clinician of the required license, role, and competency.","Mostly mechanical, but competency data is unreliable so they keep a private mental map of who can really do what.",The credentialed competency in the system understates what clinicians actually can and cannot do.,Keep the tacit competency map. Offload the firm license and role gate.,"Right discipline and skill every time, including the specialty visits.","S-15, S-16, S-33"
SCH-04,Scheduling,Honoring clinician patterns,Shares,"Build the schedule around preferred days, start times, lunches, doc blocks, and hard stops.","These are relationships, not just fields; violate them and clinicians push back or leave, so they guard them carefully.","Patterns live in memory and sticky notes rather than in the system, so a covering scheduler rebuilds days wrong.","Keep knowing who will really flex. Offload the documented, stable parts of each pattern.",Schedules that fit each clinician's real working shape without being asked.,"S-04, S-05, S-07, S-08, S-10"
SCH-05,Scheduling,Clinician elasticity,Influences,Know who to call for a same-day squeeze-in and who never says yes.,Their single most valuable tacit asset - the map of willingness - and one they know cannot be safely automated.,"The map is entirely in their head; when they are out, it leaves with them.","Keep the ask and the relationship. This is a read-only input for any system, never an assumption.",The right clinician says yes to the surge without anyone feeling used.,"S-12, S-13, C-09"
SCH-06,Scheduling,Patient constraints,Executes,"Honor refusals, preferred windows, day-of-week blocks, and gender or language needs.","Patient constraints are hard walls that reshape the whole route, not preferences to optimize away.",Constraints arrive by phone and go stale; a refusal noted weeks ago may no longer hold.,Keep the read on which constraints are current. Offload the enforcement once captured.,No visit booked into a window the patient will refuse.,"S-25, S-26, S-27, S-23, S-24"
SCH-07,Scheduling,Caregiver-gated visits,Shares,"Schedule around caregiver presence, dementia requirements, and fluctuating caregiver availability.","The hardest cases in the job: two calendars, often changing, with patient safety on the line.",Caregiver availability comes in by phone and is out of date almost immediately.,"Keep the coordination with the family. This stays a read-and-confirm input, never an auto-book.",Gated visits placed only into windows the caregiver has actually confirmed.,"S-28, S-29, S-30, CO-06"
SCH-08,Scheduling,Routing and proximity,Executes,Cluster visits and minimize drive time across each clinician's day.,Efficiency they chase but routinely lose to a caregiver window or a refusal that breaks the cluster.,The optimization is manual and gets overridden so often it rarely holds.,Keep the override for a hard constraint. Offload the base route optimization.,Tight routes that bend only where a real constraint forces it.,"S-14, S-17, S-18, S-19"
SCH-09,Scheduling,Continuity of care,Influences,Keep the same clinician with a patient across the episode where possible.,"A quiet quality lever they protect when the constraints leave room, even though nothing rewards them for it.","Continuity is the first thing sacrificed under coverage pressure, with no record of the cost.",Keep the discretion to protect it. Offload the flag for when it is about to break.,Patients see a familiar clinician through recert and discharge.,S-22
SCH-10,Scheduling,Weekly distribution,Executes,"Front-load the week, balance load across days, and watch pace against plan.",A discipline they know protects against end-of-week misses but lose under daily firefighting.,Balancing is done by eye and slips whenever the day gets busy.,Keep the sense of the week. Offload the front-load and balance math and the pace alert.,Weeks that hit the front-load mark without any day over- or under-packed.,"S-40, S-41, S-42"
SCH-11,Coordination,Confirmations and reminders,Shares,Confirm visits the day before and make sure reminders go out.,The cheapest insurance against a wasted trip; they would gladly hand off the mechanical reminder and keep the call that surfaces a change.,Manual confirmation calls eat time that should go to building the schedule.,Keep the human confirmation call. Offload the automated reminder dispatch.,Failed and no-show visits down without the scheduler making every call by hand.,"CO-01, CO-02, CO-04, CO-05"
SCH-12,Coordination,Reschedule and recovery,Owns,Renegotiate times and rebook missed visits with patients and families.,Relational firefighting - the part of the job that cannot be automated away and that they own better than any system.,"Every reschedule pulls in the full constraint set again, by hand, under time pressure.",Keep the negotiation. Offload the surfacing of viable replacement slots.,Misses recovered quickly into slots that actually hold.,"CO-07, CO-08"
SCH-13,Coordination,Call-out coverage,Owns,"When a clinician calls out, work the per-diem and flex list to cover the day.",Their most stressful and most human task; it runs entirely on relationships and who will pick up the phone.,A manual scramble through a phone tree with no live view of who is available and willing.,"Keep the ask. Offload surfacing who is available, so they spend their time persuading not searching.",Same-day coverage found fast without a branch-wide fire drill.,"CO-09, C-09, S-12"
SCH-14,Coordination,Care-team updates,Shares,Keep the case manager and office in sync on schedule changes.,Necessary glue that no one counts and the real reason a scheduler's span is capped.,"Coordination notes and updates are habit, not workflow, so things fall through when it is busy.",Keep the judgment on what to escalate. Offload the routine logging and notification.,The record and the team stay aligned without extra manual chasing.,"CO-10, CO-11, CO-12"
