,ROI & Finance Case  -  Capacity & Scheduling Initiative,,,,,,,,
,,,,,,,,,
,"=TEXT(F77,""$#,##0.0,,"")&""M / yr""",,,,,,,,
,"Modeled annual impact across ~80 branches, Moderate scenario, full product. Recovered scheduling capacity, not headcount reduction: the same clinicians, more completed visits.",,,,,,,,
,"Conservative and Hopeful bounds, MVP figures, and the full model are below. Moderate is the defensible center.",,,,,,,,
,,,,,,,,,
,"SCENARIO RANGE  -  modeled annual impact, full product, network of ~80 branches",,,,,,,,
,,CONSERVATIVE,,,MODERATE,,,HOPEFUL,
,,"=TEXT(C77,""$#,##0.0,,"")&""M""",,,"=TEXT(F77,""$#,##0.0,,"")&""M""",,,"=TEXT(I77,""$#,##0.0,,"")&""M""",
,,"=REPT(""█"",ROUND(C77/$I77*22,0))",,,"=REPT(""█"",ROUND(F77/$I77*22,0))",,,"=REPT(""█"",ROUND(I77/$I77*22,0))",
,,,,,,,,,
,How to read this tab  (click + to expand),,,,,,,,
,Per branch vs. Network,Per branch = one location. Network = the same effect across roughly 80 locations.,,,,,,,
,MVP vs. Full product,"MVP = the first shippable phase (make capacity visible, flag LUPA risk). Full product = the mature, dynamic and predictive system.",,,,,,,
,Conservative / Moderate / Hopeful,Three honest scenarios keyed to how much capacity or efficiency the product recovers (2% / 4% / 7%). Moderate is the defensible center; Conservative is the floor.,,,,,,,
,The bars,"In-cell bars scale each row against its own Hopeful value, so a short bar is a smaller share of the upside, not a rounding artifact.",,,,,,,
,The numbers are live,Every figure is computed from the Assumptions & drivers block lower on this tab. Change an assumption there and the model updates.,,,,,,,
,,,,,,,,,
,Executive summary,,,,,,,,
,"Every dollar this organization earns, and nearly every dollar it spends, passes through one place: the daily schedule. Referrals come in, clinicians go out, and visit volume, margin, and patient outcomes are all set by how well those two sides are matched each day. Scheduling is not a back-office function. It is the operating core of the business, and today we run it largely blind.",,,,,,,,
,"Finance has asked a fair question: why build a product when we could put each branch on a spreadsheet and have an AI optimize it every morning? The honest answer is that the spreadsheet is not the hard part. The hard part is that the inputs change hour by hour, the constraints are tangled together, and no one has ever measured how much capacity we actually have. A model can only optimize the numbers you give it, and today those numbers do not exist in any reliable form.",,,,,,,,
,"So we are not proposing to solve scheduling. No one has. We are proposing to solve the part that pays for itself first: turning capacity into a measured number, branch by branch, day by day, for the first time. That instrument shows us where we are leaving visits and revenue on the table, and it sharpens every month as it accumulates history that cannot be recreated after the fact. The same instrument extends directly to hospice, where the scheduling problem is the same shape. We are asking to fund a measurement asset that compounds, not a one-time fix.",,,,,,,,
,,,,,,,,,
,"The schedule is the entire business, in one place",,,,,,,,
,Trace any patient and every referral dollar follows the same path. The schedule is the valve the whole business flows through:,,,,,,,,
,Referral (potential)   ->   Capacity decision (the hinge)   ->   Schedule (the plan)   ->   Visit (the only revenue-producing event)   ->   Outcome & revenue (what finance measures),,,,,,,,
,"Everything upstream of the capacity decision (intake volume, referral relationships, sales) is only potential. Everything downstream (clinical outcomes, revenue, quality scores, patient experience, clinician retention) is gated by whether the right clinician reaches the right home at the right time. The constraint on this business is rarely demand. It is the schedule's ability to convert demand into delivered care.",,,,,,,,
,,,,,,,,,
,Why the schedule fights back every hour,,,,,,,,
,"A home visit is not one constraint, it is a dozen that must all be true at once, and several of them fight each other. For a single visit to be correct, all of the following have to reconcile:",,,,,,,,
,"Discipline and licensure match (SN, PT, OT, ST, MSW, HHA, none of which substitute for one another)  -  geography and drive time  -  the clinician's finite daily capacity and caseload  -  the physician-ordered visit frequency and the LUPA payment threshold  -  active orders and authorization windows  -  patient acuity and clinical timing (start of care within 48 hours, wound-care cadence, medication timing)  -  caregiver presence in the home  -  continuity of care (the same clinician)  -  clinician PTO, same-day call-outs, and turnover  -  patient preference and availability",,,,,,,,
,"These constraints conflict. Continuity fights geography. Productivity fights acuity.  And it is dynamic, not static: a single 7 a.m. nurse call-out can invalidate six visits, each with its own clock and financial exposure, and the schedule that was optimal at 8 a.m. is stale by 9. This is a combinatorial problem that reshuffles itself all day long.",,,,,,,,
,,,,,,,,,
,"Taking the spreadsheet-and-AI idea seriously, then retiring it",,,,,,,,
,"The instinct that AI belongs in this problem is correct, and our product uses it. The disagreement is narrower than it looks: it is not AI or no AI, it is an AI running loose on a disposable sheet versus an AI engineered into a system that remembers, measures, and enforces the rules. A daily spreadsheet fails on five counts:",,,,,,,,
,The daily-sheet approach assumes...,,,,...and here is why it breaks,,,,
,A fresh sheet each morning is fine.,,,,"It has amnesia. With no history it cannot trend, forecast, or prove ROI, and it cannot catch a branch quietly degrading. For finance this is fatal: you cannot defend a spend that keeps no record of improvement.",,,,
,The AI can just optimize it.,,,,"The real constraints (licensure, authorizations, LUPA thresholds, drive time, caregiver availability, continuity) live across the EMR, referral, HR/credentialing, payroll, and routing systems. A hand-built sheet omits them or requires massive daily re-keying across ~80 branches. Fed blanks, an optimizer returns a clean-looking answer that is wrong.",,,,
